Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh)
Russia,2023,4434.22,12891.26,18.41,77.03,35.78,16.58,3618.71,0.33
India,2019,5590.35,38041.3,58.26,25.55,52.42,25.43,4880.18,0.39
USA,2015,8018.31,15314.01,53.6,18.51,35.44,18.73,2264.28,0.28
Germany,2019,6144.01,40416.82,18.09,75.88,57.07,12.41,1783.18,0.24
China,2012,2325.13,26930.76,77.44,68.13,26.1,30.48,1307.01,0.09
Russia,2001,6169.22,39799.4,32.97,63.54,33.47,27.57,296.22,0.1
Germany,2023,6319.97,14156.05,36.19,17.33,37.03,16.36,933.15,0.31
China,2001,7367.66,25647.35,40.74,66.53,47.48,27.47,512.4,0.33
Australia,2024,6246.65,28419.18,32.43,52.63,27.81,38.67,2495.8,0.49
Australia,2013,9695.5,47183.85,52.38,61.23,20.39,38.69,4892.08,0.44
UK,2003,2053.15,13696.58,38.04,78.46,59.06,25.96,3947.64,0.43
Germany,2016,9515.8,46866.07,27.05,23.61,55.95,12.94,3028.37,0.18
Australia,2012,5429.56,40340.52,81.88,45.31,32.01,23.75,2458.86,0.24
China,2003,6752.37,36679.26,31.21,62.73,39.34,10.81,3105.05,0.1
UK,2002,1084.67,39450.08,64.37,40.36,39.56,22.46,1911.33,0.31
China,2011,3867.7,30468.54,34.51,13.83,54.77,37.28,933.01,0.08
UK,2021,7716.85,12581.96,41.99,17.8,43.88,24.02,2969.38,0.25
Germany,2022,7098.42,9880.0,25.06,52.15,53.06,26.51,2664.11,0.3
Russia,2007,497.38,43383.9,68.95,29.95,56.48,14.74,4725.46,0.15
Canada,2001,5511.28,36394.4,67.66,19.65,42.64,10.47,3266.67,0.4
Japan,2005,973.95,11053.61,6.89,33.79,31.42,39.8,3878.48,0.35
Russia,2021,9958.98,30947.12,10.12,24.07,39.95,20.15,508.87,0.12
Brazil,2009,8983.24,22653.55,83.4,11.68,54.03,18.38,3816.64,0.49
China,2011,308.7,8353.43,80.55,20.63,43.34,27.14,4915.1,0.29
Brazil,2020,8600.63,26826.93,48.02,71.82,55.83,32.36,3304.6,0.06
Russia,2009,9202.35,14435.2,46.94,10.84,55.82,17.54,3723.31,0.21
UK,2009,3600.13,5264.08,74.06,64.17,34.93,25.72,4898.63,0.49
Japan,2022,7223.07,23614.44,16.77,62.74,37.92,19.98,1986.81,0.46
Japan,2002,4476.83,29710.37,60.56,49.5,47.12,24.43,4129.68,0.12
USA,2019,6586.8,2821.87,45.46,24.59,24.44,14.84,2028.48,0.43
Japan,2009,3469.14,20403.59,68.18,71.46,38.62,25.3,2158.3,0.33
Canada,2008,3293.34,13254.27,7.56,43.26,25.98,11.42,3308.3,0.06
Japan,2019,4301.9,2017.2,55.38,22.12,53.92,35.2,1319.27,0.39
Russia,2018,1541.12,6720.3,52.32,40.03,57.71,28.83,4964.27,0.24
USA,2013,8328.28,7382.19,76.47,23.64,25.66,38.24,1679.7,0.23
Russia,2001,3552.11,9552.28,62.53,36.32,46.69,27.99,658.11,0.22
Russia,2004,4061.48,40267.19,79.81,44.77,45.46,15.46,1646.64,0.32
India,2019,8951.14,22254.85,80.42,35.19,50.4,24.52,4287.03,0.37
USA,2007,5016.58,7780.76,39.69,55.99,47.83,29.94,1603.94,0.34
Russia,2006,5488.11,5464.7,16.68,75.51,28.69,21.23,3076.21,0.16
India,2005,9569.33,15248.05,58.57,34.37,31.65,26.58,4679.84,0.37
India,2010,8878.59,40001.77,79.27,34.9,26.61,14.88,1336.83,0.11
USA,2011,1777.72,18540.76,11.37,61.68,56.85,33.31,700.26,0.49
Brazil,2017,4784.83,8414.92,52.42,47.14,40.87,37.29,529.4,0.26
UK,2018,9715.83,20503.75,14.77,40.02,59.05,19.45,2229.82,0.09
Canada,2009,3786.43,27987.92,7.29,66.97,37.97,33.8,566.22,0.31
UK,2024,3778.57,1964.42,62.77,72.37,42.11,12.76,2296.35,0.31
Japan,2024,2030.8,31568.27,62.96,51.34,51.57,17.4,4320.45,0.07
Canada,2020,1231.8,20057.49,56.06,22.96,51.89,23.86,3898.54,0.05
Japan,2013,7429.02,981.43,78.03,42.64,29.25,21.59,2929.42,0.5
Russia,2002,7723.3,33857.53,11.87,45.31,31.53,28.59,4259.59,0.23
China,2017,9693.23,35763.19,13.95,40.25,23.91,26.89,546.34,0.16
USA,2023,7756.84,31627.57,78.49,28.37,52.22,12.62,3066.62,0.3
Canada,2014,2509.19,17425.55,47.78,43.06,51.75,13.95,622.42,0.05
Canada,2005,497.15,26715.44,28.21,41.26,23.25,11.55,2436.59,0.06
Russia,2009,9855.83,19664.31,67.74,24.66,30.3,38.58,2344.14,0.1
Brazil,2011,3470.46,35180.78,81.02,73.24,37.99,29.36,1362.52,0.41
India,2006,3188.52,29387.22,63.62,71.97,41.67,35.67,4157.78,0.16
Russia,2016,9068.96,4549.06,72.31,63.17,40.9,26.24,1179.73,0.28
Australia,2000,5892.49,32333.13,29.01,38.07,59.32,15.82,2781.88,0.15
India,2017,2227.22,34518.3,29.55,35.92,50.57,28.8,2437.19,0.3
USA,2014,8902.05,18849.76,78.45,60.15,24.53,25.16,2186.68,0.28
India,2018,9934.27,43851.4,57.26,52.57,31.74,22.25,216.03,0.23
Brazil,2000,958.12,42229.21,24.9,52.04,33.82,21.15,3498.83,0.24
India,2004,8636.29,9170.74,49.55,18.69,32.61,29.5,112.79,0.34
USA,2014,3966.11,45261.18,63.3,53.28,51.44,28.53,4111.71,0.43
Brazil,2002,5288.32,22323.18,23.58,73.13,34.42,14.55,1368.65,0.19
UK,2000,9156.68,36325.61,60.67,16.01,39.7,34.49,644.03,0.29
Canada,2007,9736.45,40797.8,8.58,33.74,41.34,29.08,2114.35,0.43
Canada,2011,2695.42,25503.06,30.81,45.63,30.82,26.07,2818.83,0.13
Japan,2021,2207.22,20255.55,62.29,58.02,32.91,32.47,1586.3,0.49
UK,2024,897.11,45814.84,17.69,16.27,51.2,14.61,652.83,0.39
UK,2018,5661.8,11927.25,23.89,71.1,54.67,37.59,140.72,0.21
India,2024,234.68,13220.02,79.72,12.84,21.48,18.12,3533.88,0.22
Canada,2024,4177.79,18400.21,62.32,70.04,44.21,17.88,4437.86,0.14
USA,2011,826.5,43043.56,47.41,11.94,45.34,34.45,547.58,0.17
Germany,2012,4111.74,46970.02,22.93,20.75,49.49,20.02,1191.64,0.31
Germany,2000,495.33,11393.35,34.02,66.02,47.75,34.92,150.13,0.05
Brazil,2018,8368.65,43261.57,53.82,70.21,55.1,19.84,4431.08,0.06
Canada,2005,2176.42,13281.05,18.2,78.76,23.14,26.52,2251.46,0.49
Canada,2007,3350.26,48546.74,45.95,18.1,35.53,16.93,4629.72,0.16
Germany,2003,8713.48,30071.69,39.76,46.85,51.28,31.95,2367.09,0.42
Canada,2004,7488.03,850.78,45.52,15.4,53.86,15.01,4317.81,0.33
India,2024,2268.48,2189.43,13.97,20.95,30.59,36.98,4761.19,0.25
Australia,2021,811.8,7800.48,14.05,22.21,43.41,21.15,1709.0,0.38
China,2006,7185.17,9784.87,86.95,14.44,27.23,24.15,3221.52,0.07
UK,2022,3967.96,38497.15,88.25,72.51,54.04,10.72,3348.78,0.39
Japan,2003,7684.19,11526.91,41.22,18.84,49.22,39.27,155.97,0.44
Brazil,2019,4508.42,48472.51,72.06,54.05,28.88,34.4,2219.23,0.18
Australia,2003,3525.42,31987.55,60.74,53.8,44.95,23.41,4283.87,0.19
Germany,2014,4566.93,34779.62,14.94,23.91,40.37,37.61,4734.11,0.1
UK,2020,7510.73,11281.92,30.22,79.89,30.35,37.93,4501.14,0.44
Canada,2004,9031.98,44688.96,31.66,34.32,55.72,25.99,4865.84,0.41
Japan,2023,592.7,33556.82,55.64,73.36,25.91,17.02,3282.56,0.24
Canada,2008,5288.7,43288.08,54.3,76.38,38.7,24.61,1202.36,0.22
USA,2001,425.07,47845.81,83.5,76.43,43.31,19.74,2898.14,0.24
USA,2006,4737.25,6719.23,72.15,62.7,52.94,23.44,2134.66,0.24
Japan,2016,8864.3,5281.07,77.83,27.77,26.01,37.34,1330.33,0.24
Japan,2015,3679.74,40268.69,80.75,18.45,44.37,18.46,3875.29,0.12
Germany,2016,9331.26,43373.24,73.11,49.89,20.26,35.17,3164.53,0.06
Japan,2019,6343.02,29396.19,33.29,35.2,52.9,38.06,3961.02,0.39
India,2022,9348.14,18617.03,23.28,68.17,29.39,34.15,1383.98,0.2
Canada,2001,7595.95,32805.17,53.6,62.15,48.84,25.82,4524.23,0.27
Australia,2010,1124.01,15630.37,63.61,29.35,44.08,26.92,1231.63,0.19
Russia,2001,2388.4,12300.09,37.86,11.19,22.01,34.59,3029.52,0.22
Japan,2000,4002.29,24663.19,77.11,26.61,27.33,11.34,331.63,0.08
Brazil,2001,1784.06,11199.61,86.65,49.7,30.71,32.08,2727.77,0.22
USA,2022,4999.62,24443.33,53.4,15.53,55.47,25.87,538.68,0.26
India,2008,4766.54,47852.02,43.81,56.08,39.23,21.91,1694.46,0.42
UK,2021,9566.97,42069.31,76.65,57.02,56.54,33.01,4310.41,0.19
Russia,2001,4393.91,47110.73,7.06,21.86,21.9,17.99,4472.96,0.09
Australia,2014,7877.71,40413.28,15.97,51.74,20.26,36.87,3848.13,0.39
Russia,2009,9424.91,18060.17,76.88,52.49,57.93,30.65,1870.13,0.22
Japan,2014,8782.19,40696.24,67.22,43.46,48.96,28.3,2914.68,0.46
Germany,2009,2165.81,46184.33,40.37,76.73,51.33,25.69,1158.7,0.48
USA,2024,5010.7,47378.27,80.55,17.57,56.63,16.38,3407.83,0.44
USA,2022,3542.62,34318.29,34.87,38.46,59.38,28.51,1769.64,0.15
UK,2016,4058.6,10962.65,58.88,71.8,23.91,31.75,1143.94,0.16
Germany,2008,3671.99,2466.59,58.92,37.04,26.33,10.35,2945.6,0.41
Canada,2017,8280.96,7786.41,20.67,39.72,27.54,20.99,603.42,0.25
China,2003,4576.18,48294.57,29.21,56.78,52.74,34.97,3449.16,0.18
India,2008,5284.57,23373.79,82.86,56.59,34.22,28.97,975.68,0.18
USA,2015,9826.23,42821.81,20.59,11.6,43.73,28.46,2789.6,0.31
Brazil,2003,693.79,23519.69,19.75,41.9,54.21,16.86,1992.92,0.45
USA,2015,4930.78,33210.47,45.77,33.35,47.33,28.96,2852.91,0.33
Russia,2018,7763.21,1694.97,12.84,53.94,22.62,33.58,1267.51,0.33
USA,2000,1596.5,12868.31,81.04,48.9,37.83,22.05,1586.43,0.39
USA,2022,6154.16,22095.33,13.51,55.56,22.7,15.46,744.59,0.39
China,2005,2470.7,31716.24,57.41,55.76,39.15,12.32,3895.98,0.46
China,2009,8687.3,8990.3,33.88,27.84,28.77,25.17,397.05,0.12
Australia,2015,3338.29,38345.3,73.36,27.25,20.05,30.52,1913.35,0.49
Canada,2003,3357.72,18538.03,55.13,35.92,52.53,14.88,2273.03,0.2
Brazil,2021,6022.12,40963.05,38.01,26.94,58.78,22.64,1016.27,0.18
USA,2021,1917.27,5349.47,88.63,57.8,58.57,27.06,1954.87,0.28
USA,2012,2920.4,34147.95,10.63,52.2,31.97,14.68,2119.54,0.17
India,2015,4224.66,15019.75,54.11,25.15,53.15,18.1,1160.44,0.15
China,2019,3601.01,39871.47,89.11,71.89,47.15,28.25,3214.32,0.49
Brazil,2005,5296.28,20407.44,63.73,42.25,52.0,31.75,202.73,0.1
UK,2010,6036.44,33434.81,67.88,18.89,53.85,29.08,1027.95,0.5
Australia,2023,5710.01,46748.11,7.73,24.91,59.21,31.41,3139.17,0.33
Canada,2002,6576.27,1521.02,6.82,47.79,26.07,27.45,3156.26,0.48
Germany,2019,3146.72,1050.28,8.07,33.69,50.79,35.07,1363.05,0.45
Canada,2009,1351.62,38628.82,89.3,69.59,49.37,34.8,3431.09,0.34
Russia,2000,7631.99,32496.46,88.26,44.63,31.51,33.89,2375.45,0.32
USA,2019,8522.73,15002.5,33.43,74.07,35.7,27.26,2659.87,0.5
Australia,2010,2644.36,24972.64,29.73,17.13,27.07,39.82,1696.42,0.28
Russia,2011,4130.21,2575.82,17.41,56.8,56.53,11.17,4922.15,0.13
Brazil,2013,5035.84,10026.06,32.98,72.0,55.17,15.87,3700.07,0.5
Germany,2024,5379.94,21512.57,36.46,30.51,44.56,34.27,1279.73,0.2
China,2007,6628.95,41785.2,68.6,19.5,40.47,34.79,1220.99,0.09
Australia,2010,511.87,24243.53,78.63,41.97,29.32,34.56,3882.16,0.37
Australia,2003,7242.62,29524.94,68.47,77.29,51.58,36.18,1970.65,0.25
USA,2006,713.51,43750.81,59.95,54.34,20.33,22.68,502.98,0.22
Japan,2009,4736.06,15786.54,70.1,55.08,38.51,37.96,226.22,0.33
Australia,2018,8293.94,35184.62,67.77,57.01,54.42,16.28,2099.08,0.07
India,2024,4567.03,43152.53,45.44,12.78,44.74,38.11,2102.8,0.36
Germany,2003,1575.99,10529.48,33.55,41.2,45.4,26.7,3548.94,0.28
Germany,2001,9851.84,18145.67,29.04,15.43,22.83,14.92,2895.12,0.27
India,2020,8903.93,49000.6,62.75,32.11,31.47,32.08,3862.09,0.46
UK,2017,7736.0,49169.32,86.54,67.51,46.95,18.88,1622.87,0.42
India,2013,4173.96,11549.88,54.39,55.94,21.98,16.61,3140.04,0.29
India,2015,1920.07,3789.07,82.56,79.69,33.24,15.16,4434.23,0.31
Germany,2021,9419.97,13910.62,6.21,22.05,34.16,10.88,392.97,0.41
Canada,2010,5370.28,20187.73,72.53,37.79,39.95,32.94,3556.83,0.24
Germany,2009,8538.32,22329.78,77.56,66.67,34.5,24.6,3593.62,0.35
Japan,2016,3486.74,31130.91,58.63,25.1,38.16,39.36,3980.45,0.29
USA,2013,3419.35,45025.39,84.4,20.76,41.88,23.18,1381.78,0.27
Russia,2021,9856.85,16852.23,55.14,39.93,25.13,35.3,2111.78,0.49
Canada,2003,5266.15,42574.23,25.45,36.86,27.22,39.04,1236.56,0.06
China,2018,1492.88,5127.21,23.34,78.61,53.3,10.67,1577.48,0.24
Russia,2001,2274.78,2572.8,52.25,41.94,38.39,13.16,4844.12,0.47
USA,2006,4871.25,25450.24,82.05,70.27,34.21,20.44,2255.99,0.47
Japan,2008,520.46,3453.28,11.15,72.16,37.36,36.1,4250.33,0.39
Japan,2018,4679.09,19928.25,56.37,21.05,26.99,35.14,3984.66,0.32
China,2015,4247.51,44890.52,70.43,60.07,29.59,21.0,2250.4,0.36
Canada,2021,7815.43,12453.41,14.81,29.43,40.62,16.0,4961.29,0.16
UK,2024,3613.93,35445.8,14.93,16.63,34.36,34.07,4211.86,0.27
India,2015,9827.23,15467.09,36.12,71.23,39.02,27.91,2439.34,0.29
Canada,2017,1889.62,2723.54,28.28,30.47,25.99,10.95,1583.04,0.08
UK,2022,5950.77,28056.18,21.86,34.18,26.26,34.13,422.71,0.44
Japan,2020,988.02,41825.25,21.89,32.68,35.36,38.71,2350.76,0.26
Germany,2020,7365.25,20768.69,16.11,24.02,35.15,11.26,1832.05,0.45
USA,2010,9948.06,31056.04,56.92,40.42,55.33,18.58,3571.32,0.23
China,2006,8209.47,45051.17,63.49,39.98,21.34,34.58,147.41,0.23
USA,2008,5601.47,39589.88,64.75,38.61,59.71,27.54,4165.67,0.16
Brazil,2003,4898.94,10096.88,50.25,74.14,58.26,39.68,2112.31,0.34
Brazil,2024,8366.8,36802.51,86.0,33.78,41.69,37.47,2375.18,0.3
Canada,2012,9366.14,25343.7,79.85,12.13,48.75,15.35,954.81,0.46
Japan,2024,9893.14,37425.36,86.4,22.49,57.41,30.22,4690.54,0.24
Japan,2003,4025.74,24978.52,38.05,60.5,30.05,29.6,2022.02,0.34
India,2018,9910.08,6833.93,79.61,51.36,32.63,13.33,4221.49,0.37
India,2001,1643.67,28710.52,69.84,76.62,24.44,12.69,1225.39,0.19
India,2008,2610.14,24860.63,33.9,58.61,42.55,27.08,528.45,0.45
Germany,2011,981.26,26137.13,14.06,23.6,26.38,22.09,3197.02,0.22
Russia,2001,2790.21,44005.67,63.02,18.45,57.23,26.36,4922.86,0.34
Australia,2005,7702.58,44794.43,16.6,46.45,37.26,17.16,3252.36,0.33
Russia,2004,8543.95,22950.09,29.97,56.57,56.79,26.7,3063.13,0.24
USA,2004,7811.04,23058.74,47.53,21.59,28.2,21.5,2239.04,0.13
Russia,2019,6347.55,26001.75,62.79,52.12,47.76,36.63,1454.82,0.32
Germany,2021,5188.27,26219.67,83.73,70.55,45.9,19.18,2182.62,0.22
USA,2004,7116.17,47544.16,55.43,60.93,35.99,36.13,787.34,0.22
Russia,2003,3969.25,32645.32,62.07,56.49,55.93,21.7,1346.44,0.27
Germany,2008,8428.95,14234.12,31.35,65.25,37.39,27.34,2462.56,0.35
Australia,2021,6804.18,26811.07,63.42,17.29,27.94,18.59,766.74,0.38
Russia,2009,7008.27,31547.57,42.21,24.27,59.08,34.27,3968.08,0.24
Germany,2015,5405.77,32168.7,77.84,12.67,37.66,35.31,107.23,0.1
India,2009,8863.77,29470.08,38.36,20.15,28.32,34.27,1641.89,0.41
Japan,2009,2594.95,9297.94,44.8,73.92,34.55,29.2,2607.42,0.35
India,2018,3873.36,2162.86,41.77,25.55,44.54,19.14,4648.29,0.41
Japan,2009,7798.66,17223.23,73.95,56.35,40.48,29.09,2888.59,0.19
China,2005,4978.21,21662.35,86.06,58.41,45.4,38.79,1509.77,0.46
China,2016,8903.22,3559.31,32.82,55.17,46.47,29.45,1793.34,0.17
China,2004,3529.35,40840.88,45.38,48.77,24.94,38.69,1728.84,0.18
Australia,2005,3756.37,17531.83,65.0,44.03,32.6,19.14,942.83,0.29
India,2023,8898.48,45724.82,81.11,39.39,49.95,35.38,767.0,0.5
Japan,2014,4697.27,8143.3,46.96,74.18,46.01,31.55,2429.15,0.14
Germany,2024,5209.63,3318.28,14.26,10.67,23.53,34.58,1387.79,0.43
USA,2018,3394.36,24374.65,36.34,13.74,32.61,31.32,504.62,0.05
Germany,2017,2839.03,9861.9,51.78,44.48,57.25,24.41,1121.57,0.16
USA,2003,6593.89,46901.26,40.49,33.14,54.48,30.6,2627.59,0.21
Brazil,2007,1286.42,1010.02,20.86,38.58,46.83,37.96,1321.62,0.34
Germany,2015,8804.8,20924.67,8.14,79.85,22.91,22.53,1226.82,0.1
Russia,2023,7814.11,46374.01,63.43,64.26,44.28,38.55,3122.25,0.11
Russia,2018,1988.41,19528.7,89.38,71.42,20.49,11.48,3462.61,0.12
Canada,2019,6970.8,5108.91,83.13,35.8,46.45,10.43,1244.17,0.35
India,2002,6066.07,15493.3,63.08,26.77,49.25,24.81,2387.1,0.1
USA,2009,1926.9,25151.51,76.53,63.76,39.89,35.46,3834.61,0.23
USA,2001,2804.71,9665.01,26.74,66.53,20.15,17.44,3465.03,0.12
India,2003,4148.97,23594.8,57.91,48.49,46.66,30.8,392.99,0.22
Australia,2005,7022.5,41898.99,10.15,72.72,52.79,26.41,1832.35,0.37
Canada,2010,6423.36,43694.59,65.11,77.71,43.43,18.72,3630.21,0.17
Australia,2013,5369.12,2938.41,87.44,42.97,48.37,18.57,938.22,0.33
Australia,2015,7707.26,8464.72,78.17,25.59,23.61,12.2,1019.84,0.16
Australia,2020,7603.58,14126.86,50.43,46.2,48.61,26.09,3169.35,0.38
India,2018,6216.81,29945.86,72.04,79.27,44.57,23.5,1454.57,0.4
Australia,2001,7891.2,18369.24,85.23,30.5,33.24,18.68,1652.56,0.19
Russia,2024,3409.21,42280.03,23.36,53.23,47.41,39.11,2637.94,0.06
China,2016,8824.37,35975.26,72.43,58.58,45.82,34.55,3765.37,0.11
Brazil,2008,6187.61,5472.57,27.94,24.98,43.98,25.75,2516.53,0.27
USA,2016,8241.4,31415.6,79.54,51.19,27.32,25.65,4472.46,0.22
USA,2014,5508.16,6094.12,13.36,32.02,31.85,15.81,577.87,0.21
Brazil,2006,2262.54,13124.27,20.15,69.79,59.66,29.47,3783.04,0.31
India,2021,5469.86,9304.6,66.25,60.03,37.32,38.61,2741.01,0.12
Germany,2022,3774.01,9066.57,19.86,67.84,22.38,36.95,4092.6,0.26
India,2018,7005.24,31011.58,18.43,23.98,55.96,12.54,1616.2,0.14
USA,2002,4810.36,28398.44,52.21,12.42,26.92,11.59,2436.4,0.49
USA,2000,8377.52,9213.39,75.97,69.54,36.14,38.84,4126.81,0.07
Brazil,2003,6812.92,49513.55,27.82,37.07,31.12,16.0,4167.32,0.06
Australia,2017,6876.99,21380.92,76.5,22.58,58.56,26.51,1911.15,0.3
India,2007,2249.84,5304.93,73.68,16.43,35.12,12.24,4119.87,0.08
Japan,2018,9844.07,6468.17,54.22,46.16,48.35,35.3,3427.87,0.41
Brazil,2022,8432.58,29402.74,59.96,20.51,43.94,13.54,2076.68,0.42
Russia,2022,7911.15,48963.94,8.44,49.67,21.72,29.31,4850.04,0.24
USA,2024,3369.13,28811.58,36.21,60.91,35.37,11.7,202.93,0.43
Brazil,2005,5402.75,47477.55,27.39,47.45,35.6,14.7,1944.18,0.38
India,2000,1457.32,22484.58,17.75,73.26,59.59,25.36,1569.42,0.11
USA,2007,5430.91,22074.13,38.12,20.89,52.48,11.37,4682.01,0.44
Germany,2000,1544.3,25250.36,35.17,44.58,54.27,15.87,542.29,0.44
Brazil,2018,5575.07,35022.56,66.96,21.42,32.54,14.09,3158.72,0.2
Canada,2010,6522.35,18696.99,55.84,71.31,33.16,11.22,3597.31,0.4
USA,2020,3962.94,43262.36,82.61,75.26,40.62,39.13,961.67,0.45
India,2023,5035.59,1949.43,17.36,38.0,45.24,23.5,792.24,0.39
China,2024,8768.97,22268.33,10.08,31.4,49.13,35.77,286.77,0.09
Japan,2014,1174.78,25794.1,50.44,29.55,52.83,20.75,836.43,0.09
UK,2022,7938.16,30548.1,5.09,70.18,54.93,11.28,4050.66,0.49
Australia,2024,1790.47,14165.56,71.96,57.77,20.99,30.87,4722.58,0.29
UK,2010,463.41,21660.26,48.01,71.64,51.84,11.16,4512.04,0.34
India,2018,1937.19,24484.62,46.49,18.23,44.43,26.58,1858.26,0.46
Russia,2020,7673.93,34502.04,35.81,43.32,41.28,14.17,3643.08,0.05
Russia,2009,4110.75,38790.44,36.87,57.33,45.14,30.12,4143.87,0.24
China,2023,8737.95,37022.45,41.65,72.8,55.28,36.78,4071.8,0.3
Australia,2011,5294.6,17408.36,6.36,36.74,41.81,38.67,360.29,0.05
Canada,2000,320.28,49972.8,12.1,31.92,26.49,25.83,1113.41,0.33
China,2023,7195.46,42508.93,47.93,73.91,37.47,25.98,4697.78,0.43
UK,2006,1191.31,13371.16,17.76,13.33,56.98,11.15,3712.54,0.07
China,2016,7914.86,10157.74,71.19,43.57,52.58,33.1,4180.04,0.41
UK,2009,1764.22,16044.05,28.33,42.1,28.12,38.69,2594.91,0.49
USA,2005,3519.92,22891.07,13.32,20.22,48.57,23.15,1995.63,0.46
Russia,2016,7636.59,42614.57,24.99,37.65,30.25,33.81,3273.56,0.29
USA,2017,9546.89,39028.93,35.35,60.58,33.94,33.92,2390.64,0.44
Japan,2004,3777.2,42636.68,8.0,35.68,38.76,33.57,1900.12,0.4
Australia,2017,8311.06,13961.88,17.04,31.68,37.63,32.76,1771.98,0.42
Canada,2016,1988.84,29876.33,32.53,64.73,21.17,16.45,831.64,0.23
UK,2021,8091.08,14520.83,31.39,79.21,50.96,32.54,2670.6,0.26
Canada,2015,6609.19,5896.65,73.03,64.55,53.86,14.33,2623.24,0.16
